Effective Date;30-Day Average SOFR;90-Day Average SOFR;180-Day Average SOFR;SOFR Index
11/25/2022;3,59867;3,00776;2,31973;1,05554481
11/23/2022;3,54687;2,97396;2,28591;1,0553226
11/22/2022;3,5208;2,95684;2,26894;1,05521122
11/21/2022;3,49471;2,93971;2,25197;1,05509985
11/18/2022;3,41752;2,88869;2,20109;1,05476584
11/17/2022;3,39212;2,87168;2,18413;1,05465451
11/16/2022;3,36672;2,85456;2,16711;1,05454291
11/15/2022;3,34132;2,83766;2,15021;1,05443161
11/14/2022;3,31624;2,82088;2,13337;1,05432061
11/10/2022;3,21771;2,75389;2,06635;1,05387798
11/09/2022;3,19332;2,73711;2,04957;1,05376734
11/08/2022;3,16891;2,72033;2,03279;1,0536567
11/07/2022;3,1445;2,70366;2,01596;1,05354608
11/04/2022;3,06899;2,65267;1,96513;1,05321256
11/03/2022;3,0436;2,63567;1,94819;1,0531014
11/02/2022;3,04193;2,62717;1,93546;1,05301219
11/01/2022;3,03959;2,61867;1,92278;1,05292298
10/31/2022;3,03724;2,61029;1,90736;1,05283378
10/28/2022;3,02956;2,58424;1,86099;1,05256626
10/27/2022;3,02756;2,57563;1,84552;1,05247738
10/26/2022;3,02622;2,56724;1,8301;1,0523888
10/25/2022;3,02522;2,55058;1,81474;1,05230053
10/24/2022;3,02454;2,53403;1,79944;1,05221255
10/21/2022;2,99682;2,48384;1,7532;1,05194781
10/20/2022;2,97109;2,46696;1,73773;1,05185928
10/19/2022;2,94536;2,45008;1,72221;1,05177046
10/18/2022;2,91963;2,4332;1,70664;1,05168165
10/17/2022;2,89357;2,41632;1,69106;1,05159256
10/14/2022;2,81674;2,36603;1,6448;1,05132623
10/13/2022;2,79135;2,34927;1,62939;1,05123745
10/12/2022;2,76596;2,33239;1,61399;1,05114869
10/11/2022;2,74024;2,31541;1,59854;1,05105964
10/07/2022;2,63738;2,2476;1,53685;1,05070357
10/06/2022;2,612;2,23061;1,52145;1,05061456
10/05/2022;2,58695;2,21386;1,50612;1,05052585
10/04/2022;2,56189;2,1971;1,49078;1,05043715
10/03/2022;2,53816;2,18079;1,47567;1,05034962
09/30/2022;2,46903;2,13187;1,43069;1,05008884
09/29/2022;2,44666;2,11578;1,4158;1,05000251
09/28/2022;2,42328;2,09925;1,40081;1,0499156
09/27/2022;2,3999;2,08283;1,38576;1,0498287
09/26/2022;2,37618;2,06642;1,37055;1,04974151
09/23/2022;2,30473;2,01562;1,32508;1,04948002
09/22/2022;2,28069;1,99853;1,30993;1,04939286
09/21/2022;2,28169;1,98949;1,29891;1,04932728
09/20/2022;2,28236;1,98044;1,28779;1,04926141
09/19/2022;2,28269;1,97129;1,27661;1,04919525
09/16/2022;2,28403;1,94382;1,2434;1,04899681
09/15/2022;2,28436;1,93455;1,23233;1,04893038
09/14/2022;2,28503;1,9254;1,22132;1,04886424
09/13/2022;2,28503;1,90776;1,21026;1,04879782
09/12/2022;2,28502;1,89001;1,19779;1,0487314
09/09/2022;2,28503;1,83856;1,16041;1,04853218
09/08/2022;2,28536;1,82148;1,14795;1,04846578
09/07/2022;2,28536;1,8044;1,13549;1,04839938
09/06/2022;2,28503;1,78733;1,12298;1,04833269
09/02/2022;2,28437;1,71982;1,07293;1,04806602
09/01/2022;2,28471;1,70297;1,06042;1,04799935
08/31/2022;2,28437;1,68624;1,04791;1,04793269
08/30/2022;2,28371;1,66961;1,0354;1,04786604
08/29/2022;2,28337;1,65299;1,02295;1,04779968
08/26/2022;2,25799;1,60279;0,9856;1,04760063
08/25/2022;2,23295;1,58606;0,97315;1,04753429
08/24/2022;2,20824;1,56944;0,96076;1,04746824
08/23/2022;2,18319;1,55282;0,94837;1,0474022
08/22/2022;2,15781;1,53609;0,93592;1,04733586
08/19/2022;2,08236;1,48591;0,89859;1,04713691
08/18/2022;2,05765;1,46918;0,88614;1,04707059
08/17/2022;2,03261;1,45245;0,87364;1,04700399
08/16/2022;2,00757;1,43573;0,86115;1,0469374
08/15/2022;1,98253;1,41911;0,84865;1,0468708
08/12/2022;1,90775;1,36939;0,81133;1,04667194
08/11/2022;1,88305;1,35278;0,79889;1,04660565
08/10/2022;1,85801;1,33617;0,78646;1,04653937
08/09/2022;1,83264;1,31934;0,77396;1,0464728
08/08/2022;1,8076;1,30262;0,76147;1,04640653
08/05/2022;1,73317;1,25246;0,72417;1,04620775
08/04/2022;1,70814;1,23563;0,71168;1,0461412
08/03/2022;1,68244;1,21892;0,69919;1,04607466
08/02/2022;1,6564;1,19663;0,68665;1,04600783
08/01/2022;1,63103;1,17456;0,67422;1,04594159
07/29/2022;1,55494;1,10827;0,6371;1,04574377
07/28/2022;1,52958;1,08599;0,62468;1,04567754
07/27/2022;1,52857;1,07206;0,61643;1,04563311
07/26/2022;1,52624;1,05814;0,60813;1,04558867
07/25/2022;1,5239;1,0441;0,59982;1,04554423
07/22/2022;1,51689;1,00233;0,5752;1,04541181
07/21/2022;1,51422;0,9883;0,56695;1,04536739
07/20/2022;1,51155;0,97415;0,55871;1,04532296
07/19/2022;1,50855;0,96;0,55035;1,04527824
07/18/2022;1,50554;0,94597;0,54205;1,04523353
07/15/2022;1,4715;0,90421;0,51715;1,04509941
07/14/2022;1,44347;0,8904;0,50891;1,045055
07/13/2022;1,41677;0,8766;0,50067;1,04501058
07/12/2022;1,39041;0,86268;0,49237;1,04496588
07/11/2022;1,36438;0,84887;0,48413;1,04492147
07/08/2022;1,28663;0,80779;0,4594;1,04478826
07/07/2022;1,26094;0,79398;0,45111;1,04474357
07/06/2022;1,23558;0,78018;0,44281;1,04469888
07/05/2022;1,21022;0,76637;0,43451;1,04465419
07/01/2022;1,11248;0,71206;0,40178;1,04447779
06/30/2022;1,08879;0,6987;0,39371;1,04443427
06/29/2022;1,06443;0,68512;0,38558;1,04439047
06/28/2022;1,03975;0,67121;0,3774;1,04434637
06/27/2022;1,01572;0,65763;0,36933;1,04430286
06/24/2022;0,94768;0,61824;0,34579;1,04417582
06/23/2022;0,92566;0,60533;0,33806;1,04413405
06/22/2022;0,90331;0,5922;0,33026;1,044092
06/21/2022;0,88096;0,57907;0,32247;1,04404995
06/17/2022;0,79224;0,52756;0,29126;1,04388177
06/16/2022;0,77056;0,51477;0,28347;1,04383972
06/15/2022;0,7739;0,51032;0,27986;1,04381943
06/14/2022;0,77723;0,5032;0,2763;1,04379942
06/13/2022;0,77924;0,49563;0,27251;1,04377825
06/10/2022;0,7829;0,47227;0,26083;1,04371302
06/09/2022;0,78391;0,46448;0,25694;1,04369128
06/08/2022;0,78457;0,45659;0,25299;1,04366925
06/07/2022;0,78491;0,44858;0,24898;1,04364692
06/06/2022;0,78491;0,44046;0,24492;1,04362431
06/03/2022;0,76923;0,4161;0,23274;1,04355648
06/02/2022;0,75289;0,40787;0,22863;1,04353358
06/01/2022;0,73621;0,39953;0,22446;1,04351039
05/31/2022;0,7192;0,3913;0,22034;1,04348749
05/27/2022;0,6525;0,35882;0,2041;1,04339706
05/26/2022;0,63549;0,3507;0,20004;1,04337446
05/25/2022;0,61848;0,34259;0,19598;1,04335185
05/24/2022;0,60147;0,33447;0,19192;1,04332925
05/23/2022;0,58446;0,32635;0,18786;1,04330664
05/20/2022;0,53311;0,302;0,17569;1,04323883
05/19/2022;0,5161;0,29377;0,17157;1,04321594
05/18/2022;0,49943;0,28554;0,16746;1,04319305
05/17/2022;0,48242;0,2772;0,16329;1,04316986
05/16/2022;0,46542;0,26886;0,15912;1,04314668
05/13/2022;0,4154;0,24418;0,14677;1,04307801
05/12/2022;0,39873;0,23596;0,14266;1,04305513
05/11/2022;0,38272;0,22784;0,1386;1,04303253
05/10/2022;0,36672;0,21961;0,13454;1,04300993
05/09/2022;0,35071;0,2115;0,13049;1,04298733
05/06/2022;0,3027;0,18715;0,11831;1,04291954
05/05/2022;0,28637;0,17893;0,1142;1,04289665
05/04/2022;0,28637;0,17615;0,11281;1,04288796
05/03/2022;0,28637;0,17337;0,11142;1,04287927
05/02/2022;0,28637;0,17059;0,11003;1,04287058
04/29/2022;0,28703;0,16292;0,10619;1,04284625
04/28/2022;0,28703;0,16036;0,10492;1,04283814
04/27/2022;0,28703;0,1577;0,10364;1,04283003
04/26/2022;0,28737;0,15514;0,10241;1,04282221
04/25/2022;0,2877;0,15269;0,10119;1,04281438
04/22/2022;0,28803;0,14525;0,09747;1,04279092
04/21/2022;0,2887;0,14291;0,0963;1,04278339
04/20/2022;0,28937;0,14036;0,09508;1,04277557
04/19/2022;0,29003;0,1378;0,09369;1,04276746
04/18/2022;0,29037;0,13513;0,09224;1,04275906
04/14/2022;0,27503;0,12446;0,0868;1,04272546
04/13/2022;0,26703;0,1218;0,08546;1,04271706
04/12/2022;0,25903;0,11913;0,08413;1,04270866
04/11/2022;0,25069;0,11635;0,08274;1,04269997
04/08/2022;0,22569;0,10801;0,07857;1,04267391
04/07/2022;0,21735;0,10524;0,07718;1,04266522
04/06/2022;0,20902;0,10246;0,07579;1,04265653
04/05/2022;0,20068;0,09968;0,0744;1,04264784
04/04/2022;0,19235;0,0969;0,07301;1,04263915
04/01/2022;0,16734;0,08856;0,06884;1,04261309
03/31/2022;0,15934;0,0859;0,06751;1,04260469
03/30/2022;0,15201;0,08345;0,06629;1,04259687
03/29/2022;0,14434;0,0809;0,06501;1,04258876
03/28/2022;0,13667;0,07834;0,06373;1,04258065
03/25/2022;0,11367;0,07067;0,0599;1,04255632
03/24/2022;0,10634;0,06823;0,05868;1,0425485
03/23/2022;0,099;0,06578;0,05745;1,04254068
03/22/2022;0,09134;0,06323;0,05617;1,04253258
03/21/2022;0,08334;0,06056;0,05484;1,04252418
03/18/2022;0,05833;0,05211;0,05067;1,04249812
03/17/2022;0,05;0,04934;0,04928;1,04248943
03/16/2022;0,05;0,04934;0,04928;1,04248798
03/15/2022;0,05;0,04934;0,04928;1,04248653
03/14/2022;0,05;0,04934;0,04928;1,04248508
03/11/2022;0,04967;0,04934;0,04928;1,04248074
03/10/2022;0,04967;0,04934;0,04928;1,04247929
03/09/2022;0,04967;0,04934;0,04928;1,04247784
03/08/2022;0,04967;0,04934;0,04928;1,0424764
03/07/2022;0,04967;0,04934;0,04928;1,04247495
03/04/2022;0,04967;0,04934;0,04928;1,04247061
03/03/2022;0,04967;0,04934;0,04928;1,04246916
03/02/2022;0,04967;0,04934;0,04928;1,04246771
03/01/2022;0,04967;0,04934;0,04928;1,04246626
02/28/2022;0,04967;0,04934;0,04928;1,04246481
02/25/2022;0,049;0,04934;0,04928;1,04246047
02/24/2022;0,049;0,04934;0,04928;1,04245902
02/23/2022;0,04867;0,04934;0,04928;1,04245757
02/22/2022;0,04867;0,04934;0,04928;1,04245613
02/18/2022;0,04833;0,04934;0,04928;1,04245034
02/17/2022;0,04833;0,04934;0,04928;1,04244889
02/16/2022;0,04833;0,04934;0,04928;1,04244744
02/15/2022;0,04833;0,04934;0,04928;1,04244599
02/14/2022;0,04833;0,04934;0,04928;1,04244454
02/11/2022;0,04833;0,04934;0,04928;1,0424402
02/10/2022;0,04833;0,04934;0,04928;1,04243875
02/09/2022;0,04867;0,04945;0,04934;1,04243759
02/08/2022;0,04867;0,04945;0,04934;1,04243615
02/07/2022;0,04867;0,04945;0,04934;1,0424347
02/04/2022;0,04867;0,04945;0,04934;1,04243036
02/03/2022;0,04867;0,04945;0,04934;1,04242891
02/02/2022;0,04867;0,04945;0,04934;1,04242746
02/01/2022;0,04867;0,04945;0,04934;1,04242601
01/31/2022;0,04867;0,04945;0,04934;1,04242456
01/28/2022;0,04867;0,04945;0,04934;1,04242022
01/27/2022;0,049;0,04956;0,04939;1,04241906
01/26/2022;0,04933;0,04967;0,04945;1,0424179
01/25/2022;0,04933;0,04967;0,04945;1,04241646
01/24/2022;0,04967;0,04978;0,04951;1,0424153
01/21/2022;0,04967;0,04967;0,04951;1,04241095
01/20/2022;0,05;0,04978;0,04956;1,0424098
01/19/2022;0,04967;0,04956;0,04956;1,04240835
01/18/2022;0,04967;0,04934;0,04956;1,0424069
01/14/2022;0,04967;0,04911;0,04956;1,04240111
01/13/2022;0,04967;0,04911;0,04956;1,04239966
01/12/2022;0,04967;0,04911;0,04956;1,04239821
01/11/2022;0,04967;0,04911;0,04956;1,04239677
01/10/2022;0,04967;0,04911;0,04956;1,04239532
01/07/2022;0,04967;0,04911;0,04956;1,04239098
01/06/2022;0,04967;0,04911;0,04956;1,04238953
01/05/2022;0,04967;0,04911;0,04956;1,04238808
01/04/2022;0,04967;0,04911;0,04956;1,04238663
01/03/2022;0,04967;0,04911;0,04956;1,04238518
12/31/2021;0,04967;0,04911;0,04956;1,04238084
12/30/2021;0,04967;0,04911;0,04956;1,04237939
12/29/2021;0,04967;0,04911;0,04956;1,04237795
12/28/2021;0,04967;0,04911;0,04956;1,0423765
12/27/2021;0,04967;0,04911;0,04956;1,04237505
12/23/2021;0,04967;0,04911;0,04956;1,04236926
12/22/2021;0,04967;0,04911;0,04956;1,04236781
12/21/2021;0,04967;0,04911;0,04956;1,04236636
12/20/2021;0,05;0,04923;0,04962;1,04236521
12/17/2021;0,05;0,04923;0,04962;1,04236086
12/16/2021;0,05;0,04923;0,04962;1,04235941
12/15/2021;0,05;0,04923;0,04962;1,04235797
12/14/2021;0,05;0,04923;0,04962;1,04235652
12/13/2021;0,05;0,04923;0,04939;1,04235507
12/10/2021;0,05;0,04923;0,04873;1,04235073
12/09/2021;0,05;0,04923;0,04851;1,04234928
12/08/2021;0,05;0,04923;0,04828;1,04234783
12/07/2021;0,05;0,04923;0,04806;1,04234639
12/06/2021;0,05;0,04923;0,04784;1,04234494
12/03/2021;0,05;0,04923;0,04717;1,04234059
12/02/2021;0,05;0,04923;0,04695;1,04233915
12/01/2021;0,05;0,04923;0,04673;1,0423377
11/30/2021;0,05;0,04923;0,04651;1,04233625
11/29/2021;0,05;0,04923;0,04628;1,0423348
11/26/2021;0,05;0,04923;0,04562;1,04233046
11/24/2021;0,04967;0,04923;0,04517;1,04232757
11/23/2021;0,04967;0,04923;0,04495;1,04232612
11/22/2021;0,04967;0,04923;0,04473;1,04232467
11/19/2021;0,04833;0,04923;0,04406;1,04232033
11/18/2021;0,04767;0,04923;0,04384;1,04231888
11/17/2021;0,04767;0,04923;0,04362;1,04231743
11/16/2021;0,04767;0,04923;0,04339;1,04231598
11/15/2021;0,04767;0,04923;0,04317;1,04231454
11/12/2021;0,04767;0,04923;0,0425;1,04231019
11/10/2021;0,04767;0,04923;0,04206;1,0423073
11/09/2021;0,04767;0,04923;0,04184;1,04230585
11/08/2021;0,04767;0,04923;0,04162;1,0423044
11/05/2021;0,04767;0,04923;0,04095;1,04230006
11/04/2021;0,04767;0,04923;0,04073;1,04229861
11/03/2021;0,04767;0,04923;0,0405;1,04229716
11/02/2021;0,04767;0,04923;0,04028;1,04229572
11/01/2021;0,04767;0,04923;0,04006;1,04229427
10/29/2021;0,04767;0,04923;0,03939;1,04228993
10/28/2021;0,04767;0,04923;0,03917;1,04228848
10/27/2021;0,04767;0,04923;0,03895;1,04228703
10/26/2021;0,04767;0,04923;0,03873;1,04228558
10/25/2021;0,048;0,04934;0,03856;1,04228443
10/22/2021;0,048;0,04934;0,03789;1,04228008
10/21/2021;0,04867;0,04956;0,03778;1,04227921
10/20/2021;0,04933;0,04978;0,03767;1,04227835
10/19/2021;0,05;0,05;0,03756;1,04227748
10/18/2021;0,05;0,05;0,03734;1,04227603
10/15/2021;0,05;0,05;0,03667;1,04227169
10/14/2021;0,05;0,05;0,03645;1,04227024
10/13/2021;0,05;0,05;0,03623;1,04226879
10/12/2021;0,05;0,05;0,036;1,04226734
10/08/2021;0,05;0,05;0,03511;1,04226155
10/07/2021;0,05;0,05;0,03489;1,04226011
10/06/2021;0,05;0,05;0,03467;1,04225866
10/05/2021;0,05;0,05;0,03445;1,04225721
10/04/2021;0,05;0,05;0,03423;1,04225576
10/01/2021;0,05;0,05;0,03356;1,04225142
09/30/2021;0,05;0,05;0,03334;1,04224997
09/29/2021;0,05;0,05;0,03311;1,04224853
09/28/2021;0,05;0,05;0,03289;1,04224708
09/27/2021;0,05;0,05;0,03267;1,04224563
09/24/2021;0,05;0,05;0,032;1,04224129
09/23/2021;0,05;0,05;0,03178;1,04223984
09/22/2021;0,05;0,05;0,03156;1,04223839
09/21/2021;0,05;0,05;0,03134;1,04223694
09/20/2021;0,05;0,05;0,03111;1,0422355
09/17/2021;0,05;0,05;0,03045;1,04223115
09/16/2021;0,05;0,05;0,03022;1,04222971
09/15/2021;0,05;0,05;0,03;1,04222826
09/14/2021;0,05;0,04956;0,02978;1,04222681
09/13/2021;0,05;0,04911;0,02956;1,04222536
09/10/2021;0,05;0,04778;0,02889;1,04222102
09/09/2021;0,05;0,04734;0,02867;1,04221957
09/08/2021;0,05;0,04689;0,02845;1,04221813
09/07/2021;0,05;0,04645;0,02822;1,04221668
09/03/2021;0,05;0,04467;0,02756;1,04221089
09/02/2021;0,05;0,04422;0,02739;1,04220944
09/01/2021;0,05;0,04378;0,02722;1,04220799
08/31/2021;0,05;0,04334;0,02706;1,04220655
08/30/2021;0,05;0,04289;0,027;1,0422051
08/27/2021;0,05;0,04156;0,02656;1,04220076
08/26/2021;0,05;0,04111;0,02634;1,04219931
08/25/2021;0,05;0,04067;0,02611;1,04219786
08/24/2021;0,05;0,04022;0,026;1,04219641
08/23/2021;0,05;0,03978;0,02583;1,04219497
08/20/2021;0,05;0,03845;0,02533;1,04219062
08/19/2021;0,05;0,038;0,02517;1,04218918
08/18/2021;0,05;0,03756;0,025;1,04218773
08/17/2021;0,05;0,03711;0,02489;1,04218628
08/16/2021;0,05;0,03667;0,02495;1,04218483
08/13/2021;0,05;0,03533;0,025;1,04218049
08/12/2021;0,05;0,03489;0,025;1,04217904
08/11/2021;0,05;0,03445;0,025;1,0421776
08/10/2021;0,05;0,034;0,02506;1,04217615
08/09/2021;0,05;0,03356;0,02511;1,0421747
08/06/2021;0,05;0,03222;0,02478;1,04217036
08/05/2021;0,05;0,03178;0,02461;1,04216891
08/04/2021;0,05;0,03133;0,02445;1,04216746
08/03/2021;0,05;0,03089;0,02445;1,04216602
08/02/2021;0,05;0,03045;0,02456;1,04216457
07/30/2021;0,05;0,02911;0,02483;1,04216023
07/29/2021;0,05;0,02867;0,02489;1,04215878
07/28/2021;0,05;0,02822;0,02495;1,04215733
07/27/2021;0,05;0,02778;0,02489;1,04215589
07/26/2021;0,05;0,02733;0,02478;1,04215444
07/23/2021;0,05;0,026;0,02472;1,0421501
07/22/2021;0,05;0,02556;0,02472;1,04214865
07/21/2021;0,05;0,02511;0,02472;1,0421472
07/20/2021;0,05;0,02467;0,02467;1,04214575
07/19/2021;0,05;0,02422;0,02472;1,04214431
07/16/2021;0,04867;0,02289;0,02517;1,04213996
07/15/2021;0,04733;0,02245;0,02533;1,04213852
